# <><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><>
# STATUS OF ELEPHANT POPULATIONS - NUMBER OF ILLEGAL KILLINGS IN AFRICA BY ZONE [Year 2003 -  Year 2017]: A REPORT TO THE CITES STANDING COMMITTEE
# ** CITES - The Convention on International Trade in Endangered Species of Wild Fauna and Flora <  https://cites.org/  >
# <><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><>
#  Year           Central Africa        Eastern Africa        West Africa     Southern Africa 
# <><><>        <><><><><><><>       <><><><><><><>     <><><><><><><>       <><><><><><><>
   2003             1958                    1852              185               1662
   2004             2072                    2415              292               1719
   2005             1436                    1852              222               1667
   2006             1632                    1691              37                2063
   2007             2284                    2254              665               2109
   2008             2349                    3905              650               2126
   2009             1990                    1860              599               2579
   2010             2056                    3945              148               2177
   2011             2937                    5233              610               2865
   2012             2610                    4589              658               2292
   2013             2284                    4428              503               2235
   2014             2382                    3864              658               2263
   2015             2349                    3542              672               2338
   2016             2415                    2415              665               2263
   2017             2447                    1610              547               2750

































